Round	Date	Number	Sample	Replicate	Background	Population	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
1	1/11/20	1	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	42.01	184.606	3.656801652	7.665632058	4.008830406
1	1/11/20	2	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	47.153	545.507	3.874179405	13.17726341	9.303084009
1	1/11/20	3	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	39.477	39.477	3.544844055	3.544844055	0
1	1/11/20	4	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	48.664	295.575	3.935763243	9.699713635	5.763950393
1	1/11/20	5	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	46.182	667.62	3.834082311	14.57772432	10.743642
1	1/11/20	6	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	43.389	824.056	3.716335245	16.19583809	12.47950285
1	3/4/21	19	408-1	1	P408	408-FR	408-FR-A	10-day	NA	300	ERY	44.183	481.182	3.750184756	12.37598431	8.625799555
1	3/4/21	20	408-1	1	P408	408-FR	408-FR-A	10-day	NA	300	NAL	44.183	823.438	3.750184756	16.18976393	12.43957917
1	3/4/21	21	408-1	1	P408	408-FR	408-FR-A	10-day	NA	300	PEN	44.183	263.894	3.750184756	9.16515516	5.414970404
1	3/4/21	22	408-1	1	P408	408-FR	408-FR-A	10-day	NA	300	STR	45.671	630.041	3.812811405	14.16150695	10.34869554
1	3/4/21	23	408-1	1	P408	408-FR	408-FR-A	10-day	NA	300	TET	44.516	994.899	3.76429049	17.7956789	14.03138841
1	3/4/21	24	408-1	1	P408	408-FR	408-FR-A	10-day	NA	300	TMS	44.183	1315.417	3.750184756	20.46241031	16.71222555
1	3/4/21	25	408-3	1	P408	408-FR	408-FR-B	10-day	NA	300	ERY	45.575	700.856	3.808802051	14.93617734	11.12737529
1	3/4/21	26	408-3	1	P408	408-FR	408-FR-B	10-day	NA	300	NAL	45.234	919.048	3.794526241	17.10386109	13.30933485
1	3/4/21	27	408-3	1	P408	408-FR	408-FR-B	10-day	NA	300	PEN	43.755	204.555	3.731976563	8.069193192	4.337216628
1	3/4/21	28	408-3	1	P408	408-FR	408-FR-B	10-day	NA	300	STR	48.136	259.524	3.914353674	9.088952354	5.174598681
1	3/4/21	29	408-3	1	P408	408-FR	408-FR-B	10-day	NA	300	TET	43.871	1080.56	3.736920258	18.54596804	14.80904778
1	3/4/21	30	408-3	1	P408	408-FR	408-FR-B	10-day	NA	300	TMS	45.162	1130.379	3.791505121	18.96867973	15.17717461
1	3/4/21	31	403-1	1	P403	403-FR	403-FR-A	10-day	NA	300	ERY	43.997	290.865	3.742282734	9.622120611	5.879837876
1	3/4/21	32	403-1	1	P403	403-FR	403-FR-A	10-day	NA	300	NAL	43.595	1155.983	3.725146908	19.18230479	15.45715788
1	3/4/21	33	403-1	1	P403	403-FR	403-FR-A	10-day	NA	300	PEN	45.789	106.438	3.817733801	5.820675877	2.002942076
1	3/4/21	34	403-1	1	P403	403-FR	403-FR-A	10-day	NA	300	STR	45.239	470.213	3.794735951	12.23410996	8.439374009
1	3/4/21	35	403-1	1	P403	403-FR	403-FR-A	10-day	NA	300	TET	46.82	1281.202	3.860475213	20.19453547	16.33406026
1	3/4/21	36	403-1	1	P403	403-FR	403-FR-A	10-day	NA	300	TMS	45.479	1492.751	3.804788472	21.79810544	17.99331697
