Mutant	Mutant2	Treatment	DayPair	s	f
ompF/acrB	ompF/acrB_1	DblMut	1	1.078809661	1.263487756
ompF/acrB	ompF/acrB_1	DblMut	1	1.050880886	1.21477879
ompF/acrB	ompF/acrB_1	DblMut	1	0.55470835	1.10194187
ompF/acrB	ompF/acrB_10	DblMut	10	0.83241271	-0.724023655
ompF/acrB	ompF/acrB_10	DblMut	10	0.351129852	-15.15037056
ompF/acrB	ompF/acrB_10	DblMut	10	0.285981709	10.94089435
ompF	ompF_1	SglMut	1	-0.236715629	0.944986819
ompF	ompF_1	SglMut	1	-0.810930216	0.820517549
ompF	ompF_1	SglMut	1	0.281747337	1.06406944
ompF	ompF_10	SglMut	10	-0.234862422	1.718640965
ompF	ompF_10	SglMut	10	-0.115324226	1.585306079
ompF	ompF_10	SglMut	10	-0.155761284	1.404988691
acrB	acrB_1	SglMut	1	0.250935569	1.063732245
acrB	acrB_1	SglMut	1	-0.302280872	0.936598032
acrB	acrB_1	SglMut	1	1.040548488	1.257904614
acrB	acrB_10	SglMut	10	-0.543807931	2.192373395
acrB	acrB_10	SglMut	10	-0.760038508	3.772489675
acrB	acrB_10	SglMut	10	-0.79467897	3.944743954
