Round	Date	Number	Sample	Replicate	Background	Population	Population2	Condition	Condition2	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
1	3/4/21	19	408-1	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	ERY	44.183	481.182	3.750184756	12.37598431	8.625799555
1	3/4/21	20	408-1	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	NAL	44.183	823.438	3.750184756	16.18976393	12.43957917
1	3/4/21	21	408-1	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	PEN	44.183	263.894	3.750184756	9.16515516	5.414970404
1	3/4/21	22	408-1	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	STR	45.671	630.041	3.812811405	14.16150695	10.34869554
1	3/4/21	23	408-1	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	TET	44.516	994.899	3.76429049	17.7956789	14.03138841
1	3/4/21	24	408-1	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	TMS	44.183	1315.417	3.750184756	20.46241031	16.71222555
1	3/4/21	25	408-3	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	ERY	45.575	700.856	3.808802051	14.93617734	11.12737529
1	3/4/21	26	408-3	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	NAL	45.234	919.048	3.794526241	17.10386109	13.30933485
1	3/4/21	27	408-3	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	PEN	43.755	204.555	3.731976563	8.069193192	4.337216628
1	3/4/21	28	408-3	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	STR	48.136	259.524	3.914353674	9.088952354	5.174598681
1	3/4/21	29	408-3	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	TET	43.871	1080.56	3.736920258	18.54596804	14.80904778
1	3/4/21	30	408-3	1	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	TMS	45.162	1130.379	3.791505121	18.96867973	15.17717461
1	3/4/21	31	403-1	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	ERY	43.997	290.865	3.742282734	9.622120611	5.879837876
1	3/4/21	32	403-1	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	NAL	43.595	1155.983	3.725146908	19.18230479	15.45715788
1	3/4/21	33	403-1	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	PEN	45.789	106.438	3.817733801	5.820675877	2.002942076
1	3/4/21	34	403-1	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	STR	45.239	470.213	3.794735951	12.23410996	8.439374009
1	3/4/21	35	403-1	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	TET	46.82	1281.202	3.860475213	20.19453547	16.33406026
1	3/4/21	36	403-1	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	TMS	45.479	1492.751	3.804788472	21.79810544	17.99331697
1	3/4/21	37	403-2	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	ERY	43.132	164.103	3.705312674	7.227420512	3.522107838
1	3/4/21	38	403-2	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	NAL	44.155	684.521	3.748996269	14.7610908	11.01209453
1	3/4/21	39	403-2	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	PEN	43.132	43.132	3.705312674	3.705312674	0
1	3/4/21	40	403-2	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	STR	44.487	388.2	3.763064165	11.11610983	7.353045668
1	3/4/21	41	403-2	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	TET	43.132	740.116	3.705312674	15.34881884	11.64350616
1	3/4/21	42	403-2	1	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	TMS	41.721	1190.317	3.6442018	19.46508846	15.82088666
1	3/30/21	121	403-2	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	ERY	42.004	321.656	3.656540504	10.11861081	6.462070307
1	3/30/21	122	403-2	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	NAL	47.785	1022.637	3.900056142	18.0420472	14.14199106
1	3/30/21	123	403-2	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	PEN	44.828	378.196	3.777458878	10.97194266	7.194483781
1	3/30/21	124	403-2	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	STR	42.004	333.338	3.656540504	10.30071749	6.644176987
1	3/30/21	125	403-2	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	TET	40.852	1173.083	3.606049843	19.32366208	15.71761224
1	3/30/21	126	403-2	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	TMS	47.904	1615.562	3.904909319	22.67706675	18.77215743
