Time,T° Read 2:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:14:10,37,0.155,0.162,0.157,0.155,0.157,0.154,0.156,0.158,0.158,0.155,0.157,0.155,0.157,0.155,0.155,0.155,0.157,0.156,0.158,0.165,0.157,0.155,0.157,0.156,0.156,0.157,0.155,0.161,0.16,0.156,0.155,0.158,0.155,0.154,0.157,0.158,0.157,0.154,0.154,0.159,0.177,0.155,0.16,0.156,0.155,0.157,0.155,0.157,0.157,0.16,0.158,0.161,0.176,0.158,0.163,0.168,0.174,0.182,0.196,0.158,0.155,0.157,0.154,0.157,0.157,0.158,0.158,0.177,0.158,0.158,0.158,0.156,0.154,0.153,0.153,0.153,0.156,0.156,0.159,0.153,0.154,0.155,0.16,0.156,0.154,0.157,0.155,0.156,0.156,0.177,0.157,0.161,0.153,0.156,0.159,0.162
0:29:10,37,0.158,0.164,0.162,0.156,0.159,0.157,0.158,0.16,0.16,0.16,0.161,0.158,0.16,0.158,0.158,0.157,0.158,0.158,0.16,0.167,0.159,0.157,0.161,0.159,0.159,0.159,0.157,0.163,0.163,0.159,0.158,0.16,0.16,0.158,0.159,0.161,0.158,0.156,0.155,0.161,0.163,0.157,0.162,0.158,0.158,0.159,0.158,0.162,0.159,0.162,0.163,0.162,0.178,0.16,0.165,0.171,0.176,0.188,0.2,0.16,0.157,0.159,0.155,0.158,0.159,0.16,0.16,0.177,0.161,0.161,0.178,0.16,0.155,0.155,0.155,0.155,0.157,0.158,0.163,0.157,0.156,0.159,0.162,0.159,0.157,0.159,0.158,0.157,0.157,0.178,0.159,0.165,0.155,0.159,0.162,0.17
0:44:10,37,0.162,0.167,0.172,0.161,0.164,0.162,0.162,0.164,0.165,0.169,0.171,0.162,0.164,0.165,0.161,0.161,0.162,0.163,0.164,0.169,0.163,0.159,0.168,0.161,0.168,0.163,0.161,0.166,0.164,0.162,0.166,0.165,0.17,0.163,0.163,0.167,0.161,0.159,0.158,0.165,0.166,0.162,0.165,0.162,0.162,0.163,0.162,0.169,0.163,0.165,0.173,0.165,0.181,0.164,0.169,0.176,0.18,0.197,0.218,0.165,0.16,0.163,0.157,0.162,0.164,0.165,0.162,0.181,0.165,0.164,0.205,0.165,0.157,0.158,0.159,0.158,0.161,0.161,0.167,0.164,0.16,0.165,0.166,0.163,0.16,0.162,0.164,0.161,0.159,0.18,0.163,0.173,0.16,0.163,0.165,0.177
0:59:10,37,0.166,0.171,0.182,0.165,0.17,0.169,0.167,0.17,0.171,0.179,0.181,0.166,0.169,0.175,0.168,0.168,0.168,0.171,0.172,0.173,0.169,0.161,0.178,0.166,0.18,0.168,0.166,0.17,0.171,0.167,0.175,0.171,0.183,0.169,0.168,0.173,0.165,0.162,0.162,0.172,0.171,0.168,0.17,0.167,0.169,0.168,0.166,0.178,0.168,0.169,0.186,0.169,0.188,0.169,0.174,0.181,0.185,0.21,0.222,0.172,0.166,0.169,0.161,0.166,0.17,0.169,0.167,0.184,0.169,0.168,0.23,0.174,0.161,0.163,0.165,0.163,0.167,0.166,0.172,0.173,0.165,0.173,0.17,0.168,0.165,0.166,0.164,0.164,0.163,0.182,0.167,0.182,0.166,0.169,0.166,0.184
1:14:10,37,0.17,0.177,0.195,0.17,0.177,0.177,0.171,0.175,0.176,0.197,0.195,0.171,0.176,0.189,0.175,0.174,0.175,0.179,0.179,0.177,0.176,0.165,0.191,0.17,0.191,0.174,0.171,0.174,0.181,0.171,0.185,0.177,0.198,0.175,0.172,0.181,0.169,0.165,0.166,0.178,0.18,0.174,0.174,0.173,0.176,0.172,0.17,0.187,0.174,0.172,0.201,0.173,0.196,0.173,0.18,0.187,0.19,0.221,0.234,0.181,0.172,0.174,0.166,0.17,0.176,0.174,0.171,0.188,0.172,0.17,0.182,0.184,0.166,0.168,0.172,0.167,0.173,0.171,0.178,0.181,0.171,0.181,0.174,0.173,0.17,0.168,0.168,0.168,0.166,0.183,0.172,0.193,0.172,0.176,0.17,0.191
1:29:10,37.1,0.174,0.182,0.209,0.174,0.19,0.198,0.174,0.181,0.186,0.23,0.22,0.178,0.192,0.222,0.2,0.186,0.185,0.195,0.201,0.182,0.203,0.166,0.22,0.175,0.205,0.182,0.176,0.181,0.188,0.176,0.201,0.185,0.213,0.187,0.178,0.191,0.175,0.168,0.171,0.187,0.189,0.181,0.179,0.18,0.185,0.177,0.173,0.21,0.181,0.176,0.221,0.18,0.202,0.179,0.185,0.195,0.194,0.245,0.244,0.201,0.177,0.18,0.17,0.174,0.184,0.179,0.175,0.193,0.175,0.172,0.203,0.212,0.171,0.171,0.188,0.171,0.18,0.181,0.184,0.207,0.174,0.188,0.179,0.177,0.175,0.172,0.172,0.173,0.171,0.184,0.178,0.208,0.182,0.187,0.174,0.194
1:44:10,37,0.179,0.191,0.227,0.181,0.216,0.236,0.18,0.203,0.216,0.258,0.245,0.193,0.218,0.263,0.235,0.215,0.201,0.217,0.238,0.188,0.243,0.169,0.247,0.183,0.225,0.204,0.184,0.202,0.195,0.186,0.218,0.21,0.233,0.215,0.193,0.209,0.183,0.172,0.175,0.215,0.197,0.212,0.185,0.202,0.201,0.192,0.177,0.239,0.203,0.181,0.247,0.188,0.211,0.185,0.203,0.216,0.198,0.311,0.26,0.23,0.209,0.186,0.175,0.184,0.191,0.184,0.18,0.198,0.181,0.175,0.235,0.241,0.179,0.176,0.212,0.181,0.204,0.211,0.192,0.239,0.179,0.198,0.185,0.189,0.196,0.176,0.176,0.178,0.178,0.185,0.19,0.224,0.197,0.201,0.179,0.198
1:59:10,37,0.19,0.207,0.247,0.2,0.239,0.267,0.192,0.225,0.245,0.28,0.266,0.214,0.24,0.292,0.264,0.242,0.224,0.241,0.267,0.198,0.277,0.172,0.267,0.199,0.249,0.225,0.201,0.228,0.205,0.214,0.238,0.237,0.256,0.245,0.216,0.228,0.2,0.176,0.188,0.24,0.203,0.246,0.19,0.225,0.217,0.215,0.19,0.265,0.227,0.186,0.287,0.204,0.218,0.205,0.226,0.24,0.21,0.364,0.279,0.255,0.241,0.195,0.19,0.207,0.205,0.188,0.184,0.208,0.186,0.18,0.259,0.268,0.199,0.19,0.235,0.204,0.227,0.237,0.212,0.267,0.193,0.207,0.204,0.203,0.22,0.18,0.181,0.195,0.203,0.187,0.212,0.24,0.216,0.221,0.184,0.201
2:14:10,37,0.198,0.226,0.268,0.215,0.259,0.292,0.205,0.243,0.27,0.302,0.287,0.236,0.262,0.317,0.288,0.266,0.249,0.267,0.292,0.215,0.304,0.175,0.286,0.214,0.278,0.245,0.22,0.253,0.214,0.244,0.254,0.259,0.283,0.27,0.238,0.246,0.217,0.183,0.206,0.258,0.211,0.272,0.196,0.247,0.235,0.235,0.206,0.286,0.247,0.191,0.321,0.229,0.228,0.224,0.246,0.259,0.227,0.407,0.296,0.28,0.266,0.214,0.206,0.227,0.221,0.196,0.189,0.226,0.199,0.184,0.277,0.293,0.22,0.207,0.26,0.226,0.248,0.26,0.235,0.291,0.209,0.217,0.224,0.22,0.239,0.183,0.187,0.216,0.229,0.189,0.231,0.254,0.24,0.244,0.2,0.204
2:29:10,37,0.201,0.245,0.293,0.228,0.277,0.313,0.217,0.259,0.29,0.325,0.309,0.257,0.28,0.34,0.312,0.288,0.274,0.293,0.313,0.231,0.327,0.18,0.305,0.227,0.305,0.264,0.236,0.275,0.222,0.273,0.276,0.277,0.305,0.292,0.258,0.262,0.233,0.191,0.219,0.272,0.218,0.294,0.2,0.268,0.255,0.252,0.22,0.304,0.263,0.195,0.349,0.255,0.235,0.24,0.265,0.274,0.24,0.443,0.315,0.305,0.286,0.23,0.219,0.242,0.238,0.207,0.196,0.247,0.211,0.187,0.292,0.321,0.238,0.221,0.284,0.245,0.265,0.278,0.254,0.314,0.225,0.223,0.242,0.234,0.255,0.186,0.196,0.231,0.249,0.192,0.249,0.267,0.263,0.269,0.212,0.205
