Competition	Comp1	Comp2	Replicate	Day_I	Strain1_Colonies_I	Strain2_Colonies_I	Dilution_I	Strain1_CFU_I	Strain2_CFU_I	Day_F	Strain1_Colonies_F	Strain2_Colonies_F	Dilution_F	Strain1_CFU_F	Strain2_CFU_F	s
WT_OMPF	WT	OmpF	1	0	48	48	-4	4800000	4800000	1	143	168	-5	143000000	168000000	0.161119349
WT_OMPF	WT	OmpF	2	0	68	59	-4	6800000	5900000	1	101	126	-5	101000000	126000000	0.363131651
WT_OMPF	WT	OmpF	3	0	79	83	-4	7900000	8300000	1	134	181	-5	134000000	181000000	0.251264476
WT_OMPF	WT	OmpF	4	0	54	25	-4	5400000	2500000	1	233	162	-5	233000000	162000000	0.406666103
WT_OMPF	WT	OmpF	5	0	123	101	-4	12300000	10100000	1	71	70	-5	71000000	70000000	0.182879204
WT_OMPF	WT	OmpF	6	0	124	80	-4	12400000	8000000	1	220	192	-5	220000000	192000000	0.302122757
WT_OMPF	WT	OmpF	7	0	93	92	-4	9300000	9200000	1	20	53	-5	20000000	53000000	0.985370556
WT_OMPF	WT	OmpF	8	0	57	58	-4	5700000	5800000	1	74	157	-5	74000000	157000000	0.734788969
WT_OMPF	WT	OmpF	9	0	59	59	-4	5900000	5900000	1	76	162	-5	76000000	162000000	0.756862995
WT_ACRB	WT	AcrB	1	0	42	51	-4	4200000	5100000	1	157	134	-5	157000000	134000000	-0.35256202
WT_ACRB	WT	AcrB	2	0	64	66	-4	6400000	6600000	1	322	188	-5	322000000	188000000	-0.568881241
WT_ACRB	WT	AcrB	3	0	47	40	-4	4700000	4000000	1	204	144	-5	204000000	144000000	-0.187038547
WT_ACRB	WT	AcrB	4	0	47	44	-4	4700000	4400000	1	322	209	-5	322000000	209000000	-0.366259326
WT_ACRB	WT	AcrB	5	0	38	77	-4	3800000	7700000	1	46	27	-6	460000000	270000000	-1.239023793
WT_ACRB	WT	AcrB	6	0	22	28	-4	2200000	2800000	1	43	37	-6	430000000	370000000	-0.39144426
WT_ACRB	WT	AcrB	7	0	42	26	-4	4200000	2600000	1	76	56	-6	760000000	560000000	0.174191431
WT_ACRB	WT	AcrB	8	0	16	8	-4	1600000	800000	1	70	46	-6	700000000	460000000	0.273293335
WT_DoubleMut	WT	DoubleMut	1	0	29	36	-4	2900000	3600000	1	22	50	-6	220000000	500000000	0.604757444
WT_DoubleMut	WT	DoubleMut	2	0	28	30	-4	2800000	3000000	1	53	41	-6	530000000	410000000	-0.325712718
WT_DoubleMut	WT	DoubleMut	3	0	20	16	-4	2000000	1600000	1	146	195	-5	146000000	195000000	0.512536488
WT_DoubleMut	WT	DoubleMut	4	0	24	14	-4	2400000	1400000	1	60	26	-6	600000000	260000000	-0.297251523
WT_DoubleMut	WT	DoubleMut	5	0	30	72	-4	3000000	7200000	1	23	82	-6	230000000	820000000	0.395756294
